# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity obs --env hallway --episodes 1500 --seed 1 --out results/hallway_qmix_correlated_obs_s1.npz --save-every 100 --parameter-sharing
[corr/qmix/obs/s1] ep=100/1500  eps=0.94  recent_success=0.57  buf=57/1037 (5.50%)  elapsed=3s
[corr/qmix/obs/s1] ep=200/1500  eps=0.88  recent_success=0.71  buf=128/1942 (6.59%)  elapsed=6s
[corr/qmix/obs/s1] ep=300/1500  eps=0.83  recent_success=0.49  buf=177/3071 (5.76%)  elapsed=14s
[corr/qmix/obs/s1] ep=400/1500  eps=0.77  recent_success=0.38  buf=215/4289 (5.01%)  elapsed=22s
[corr/qmix/obs/s1] ep=500/1500  eps=0.71  recent_success=0.43  buf=258/5432 (4.75%)  elapsed=30s
[corr/qmix/obs/s1] ep=600/1500  eps=0.65  recent_success=0.65  buf=323/6393 (5.05%)  elapsed=36s
[corr/qmix/obs/s1] ep=700/1500  eps=0.59  recent_success=0.88  buf=411/7024 (5.85%)  elapsed=40s
[corr/qmix/obs/s1] ep=800/1500  eps=0.53  recent_success=0.93  buf=504/7543 (6.68%)  elapsed=43s
[corr/qmix/obs/s1] ep=900/1500  eps=0.48  recent_success=0.93  buf=597/8036 (7.43%)  elapsed=47s
[corr/qmix/obs/s1] ep=1000/1500  eps=0.42  recent_success=0.99  buf=696/8462 (8.23%)  elapsed=50s
[corr/qmix/obs/s1] ep=1100/1500  eps=0.36  recent_success=0.96  buf=792/8901 (8.90%)  elapsed=53s
[corr/qmix/obs/s1] ep=1200/1500  eps=0.30  recent_success=1.00  buf=892/9247 (9.65%)  elapsed=55s
[corr/qmix/obs/s1] ep=1300/1500  eps=0.30  recent_success=0.98  buf=990/9585 (10.33%)  elapsed=57s
[corr/qmix/obs/s1] ep=1400/1500  eps=0.30  recent_success=1.00  buf=1090/9920 (10.99%)  elapsed=60s
[corr/qmix/obs/s1] ep=1500/1500  eps=0.30  recent_success=0.79  buf=1169/10712 (10.91%)  elapsed=65s
DONE -> results/hallway_qmix_correlated_obs_s1.npz
