# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity hidden --env lbf --episodes 3000 --seed 1 --out results/lbf_qmix_correlated_hidden_s1.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/hidden/s1] ep=100/3000  eps=0.97  recent_success=0.13  buf=13/4673 (0.28%)  elapsed=27s
[corr/qmix/hidden/s1] ep=200/3000  eps=0.94  recent_success=0.11  buf=24/9421 (0.25%)  elapsed=62s
[corr/qmix/hidden/s1] ep=300/3000  eps=0.91  recent_success=0.14  buf=38/14068 (0.27%)  elapsed=97s
[corr/qmix/hidden/s1] ep=400/3000  eps=0.88  recent_success=0.05  buf=43/18975 (0.23%)  elapsed=133s
[corr/qmix/hidden/s1] ep=500/3000  eps=0.85  recent_success=0.04  buf=47/23894 (0.20%)  elapsed=170s
[corr/qmix/hidden/s1] ep=600/3000  eps=0.83  recent_success=0.07  buf=54/28740 (0.19%)  elapsed=206s
[corr/qmix/hidden/s1] ep=700/3000  eps=0.80  recent_success=0.02  buf=56/33662 (0.17%)  elapsed=243s
[corr/qmix/hidden/s1] ep=800/3000  eps=0.77  recent_success=0.01  buf=57/38653 (0.15%)  elapsed=281s
[corr/qmix/hidden/s1] ep=900/3000  eps=0.74  recent_success=0.05  buf=62/43510 (0.14%)  elapsed=318s
[corr/qmix/hidden/s1] ep=1000/3000  eps=0.71  recent_success=0.05  buf=67/48361 (0.14%)  elapsed=354s
[corr/qmix/hidden/s1] ep=1100/3000  eps=0.68  recent_success=0.03  buf=70/50000 (0.14%)  elapsed=391s
[corr/qmix/hidden/s1] ep=1200/3000  eps=0.65  recent_success=0.05  buf=75/50000 (0.15%)  elapsed=428s
[corr/qmix/hidden/s1] ep=1300/3000  eps=0.62  recent_success=0.02  buf=77/50000 (0.15%)  elapsed=466s
[corr/qmix/hidden/s1] ep=1400/3000  eps=0.59  recent_success=0.02  buf=79/50000 (0.16%)  elapsed=503s
[corr/qmix/hidden/s1] ep=1500/3000  eps=0.56  recent_success=0.04  buf=83/50000 (0.17%)  elapsed=540s
[corr/qmix/hidden/s1] ep=1600/3000  eps=0.53  recent_success=0.01  buf=84/50000 (0.17%)  elapsed=578s
[corr/qmix/hidden/s1] ep=1700/3000  eps=0.50  recent_success=0.03  buf=87/50000 (0.17%)  elapsed=615s
[corr/qmix/hidden/s1] ep=1800/3000  eps=0.48  recent_success=0.00  buf=87/50000 (0.17%)  elapsed=652s
[corr/qmix/hidden/s1] ep=1900/3000  eps=0.45  recent_success=0.01  buf=88/50000 (0.18%)  elapsed=689s
[corr/qmix/hidden/s1] ep=2000/3000  eps=0.42  recent_success=0.01  buf=89/50000 (0.18%)  elapsed=726s
[corr/qmix/hidden/s1] ep=2100/3000  eps=0.39  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=763s
[corr/qmix/hidden/s1] ep=2200/3000  eps=0.36  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=801s
[corr/qmix/hidden/s1] ep=2300/3000  eps=0.33  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=838s
[corr/qmix/hidden/s1] ep=2400/3000  eps=0.30  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=876s
[corr/qmix/hidden/s1] ep=2500/3000  eps=0.30  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=913s
[corr/qmix/hidden/s1] ep=2600/3000  eps=0.30  recent_success=0.01  buf=90/50000 (0.18%)  elapsed=950s
[corr/qmix/hidden/s1] ep=2700/3000  eps=0.30  recent_success=0.00  buf=90/50000 (0.18%)  elapsed=987s
[corr/qmix/hidden/s1] ep=2800/3000  eps=0.30  recent_success=0.00  buf=90/50000 (0.18%)  elapsed=1023s
[corr/qmix/hidden/s1] ep=2900/3000  eps=0.30  recent_success=0.01  buf=91/50000 (0.18%)  elapsed=1060s
[corr/qmix/hidden/s1] ep=3000/3000  eps=0.30  recent_success=0.01  buf=92/50000 (0.18%)  elapsed=1097s
DONE -> results/lbf_qmix_correlated_hidden_s1.npz
