# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity obs --env lbf --episodes 3000 --seed 4 --out results/lbf_qmix_correlated_obs_s4.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/obs/s4] ep=100/3000  eps=0.97  recent_success=0.15  buf=15/4676 (0.32%)  elapsed=27s
[corr/qmix/obs/s4] ep=200/3000  eps=0.94  recent_success=0.07  buf=22/9504 (0.23%)  elapsed=62s
[corr/qmix/obs/s4] ep=300/3000  eps=0.91  recent_success=0.12  buf=34/14163 (0.24%)  elapsed=95s
[corr/qmix/obs/s4] ep=400/3000  eps=0.88  recent_success=0.07  buf=41/18965 (0.22%)  elapsed=129s
[corr/qmix/obs/s4] ep=500/3000  eps=0.85  recent_success=0.04  buf=45/23824 (0.19%)  elapsed=165s
[corr/qmix/obs/s4] ep=600/3000  eps=0.83  recent_success=0.08  buf=53/28609 (0.19%)  elapsed=200s
[corr/qmix/obs/s4] ep=700/3000  eps=0.80  recent_success=0.04  buf=57/33557 (0.17%)  elapsed=236s
[corr/qmix/obs/s4] ep=800/3000  eps=0.77  recent_success=0.06  buf=63/38332 (0.16%)  elapsed=272s
[corr/qmix/obs/s4] ep=900/3000  eps=0.74  recent_success=0.03  buf=66/43229 (0.15%)  elapsed=308s
[corr/qmix/obs/s4] ep=1000/3000  eps=0.71  recent_success=0.02  buf=68/48160 (0.14%)  elapsed=344s
[corr/qmix/obs/s4] ep=1100/3000  eps=0.68  recent_success=0.03  buf=71/50000 (0.14%)  elapsed=381s
[corr/qmix/obs/s4] ep=1200/3000  eps=0.65  recent_success=0.00  buf=71/50000 (0.14%)  elapsed=417s
[corr/qmix/obs/s4] ep=1300/3000  eps=0.62  recent_success=0.02  buf=73/50000 (0.15%)  elapsed=454s
[corr/qmix/obs/s4] ep=1400/3000  eps=0.59  recent_success=0.02  buf=75/50000 (0.15%)  elapsed=490s
[corr/qmix/obs/s4] ep=1500/3000  eps=0.56  recent_success=0.00  buf=75/50000 (0.15%)  elapsed=526s
[corr/qmix/obs/s4] ep=1600/3000  eps=0.53  recent_success=0.00  buf=75/50000 (0.15%)  elapsed=564s
[corr/qmix/obs/s4] ep=1700/3000  eps=0.50  recent_success=0.01  buf=76/50000 (0.15%)  elapsed=601s
[corr/qmix/obs/s4] ep=1800/3000  eps=0.48  recent_success=0.02  buf=78/50000 (0.16%)  elapsed=638s
[corr/qmix/obs/s4] ep=1900/3000  eps=0.45  recent_success=0.03  buf=81/50000 (0.16%)  elapsed=674s
[corr/qmix/obs/s4] ep=2000/3000  eps=0.42  recent_success=0.00  buf=81/50000 (0.16%)  elapsed=711s
[corr/qmix/obs/s4] ep=2100/3000  eps=0.39  recent_success=0.01  buf=82/50000 (0.16%)  elapsed=748s
[corr/qmix/obs/s4] ep=2200/3000  eps=0.36  recent_success=0.00  buf=82/50000 (0.16%)  elapsed=785s
[corr/qmix/obs/s4] ep=2300/3000  eps=0.33  recent_success=0.00  buf=82/50000 (0.16%)  elapsed=823s
[corr/qmix/obs/s4] ep=2400/3000  eps=0.30  recent_success=0.00  buf=82/50000 (0.16%)  elapsed=860s
[corr/qmix/obs/s4] ep=2500/3000  eps=0.30  recent_success=0.00  buf=82/50000 (0.16%)  elapsed=897s
[corr/qmix/obs/s4] ep=2600/3000  eps=0.30  recent_success=0.02  buf=84/50000 (0.17%)  elapsed=933s
[corr/qmix/obs/s4] ep=2700/3000  eps=0.30  recent_success=0.00  buf=84/50000 (0.17%)  elapsed=971s
[corr/qmix/obs/s4] ep=2800/3000  eps=0.30  recent_success=0.00  buf=84/50000 (0.17%)  elapsed=1008s
[corr/qmix/obs/s4] ep=2900/3000  eps=0.30  recent_success=0.00  buf=84/50000 (0.17%)  elapsed=1046s
[corr/qmix/obs/s4] ep=3000/3000  eps=0.30  recent_success=0.00  buf=84/50000 (0.17%)  elapsed=1081s
DONE -> results/lbf_qmix_correlated_obs_s4.npz
