# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity q_values --env lbf --episodes 3000 --seed 1 --out results/lbf_qmix_correlated_q_values_s1.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/q_values/s1] ep=100/3000  eps=0.97  recent_success=0.10  buf=10/4716 (0.21%)  elapsed=27s
[corr/qmix/q_values/s1] ep=200/3000  eps=0.94  recent_success=0.08  buf=18/9516 (0.19%)  elapsed=61s
[corr/qmix/q_values/s1] ep=300/3000  eps=0.91  recent_success=0.07  buf=25/14284 (0.18%)  elapsed=95s
[corr/qmix/q_values/s1] ep=400/3000  eps=0.88  recent_success=0.08  buf=33/19108 (0.17%)  elapsed=130s
[corr/qmix/q_values/s1] ep=500/3000  eps=0.85  recent_success=0.06  buf=39/23991 (0.16%)  elapsed=166s
[corr/qmix/q_values/s1] ep=600/3000  eps=0.83  recent_success=0.04  buf=43/28924 (0.15%)  elapsed=203s
[corr/qmix/q_values/s1] ep=700/3000  eps=0.80  recent_success=0.07  buf=50/33799 (0.15%)  elapsed=240s
[corr/qmix/q_values/s1] ep=800/3000  eps=0.77  recent_success=0.01  buf=51/38760 (0.13%)  elapsed=277s
[corr/qmix/q_values/s1] ep=900/3000  eps=0.74  recent_success=0.04  buf=55/43646 (0.13%)  elapsed=314s
[corr/qmix/q_values/s1] ep=1000/3000  eps=0.71  recent_success=0.05  buf=60/48514 (0.12%)  elapsed=350s
[corr/qmix/q_values/s1] ep=1100/3000  eps=0.68  recent_success=0.04  buf=64/50000 (0.13%)  elapsed=387s
[corr/qmix/q_values/s1] ep=1200/3000  eps=0.65  recent_success=0.04  buf=68/50000 (0.14%)  elapsed=424s
[corr/qmix/q_values/s1] ep=1300/3000  eps=0.62  recent_success=0.04  buf=72/50000 (0.14%)  elapsed=461s
[corr/qmix/q_values/s1] ep=1400/3000  eps=0.59  recent_success=0.01  buf=73/50000 (0.15%)  elapsed=498s
[corr/qmix/q_values/s1] ep=1500/3000  eps=0.56  recent_success=0.04  buf=77/50000 (0.15%)  elapsed=535s
[corr/qmix/q_values/s1] ep=1600/3000  eps=0.53  recent_success=0.05  buf=82/50000 (0.16%)  elapsed=571s
[corr/qmix/q_values/s1] ep=1700/3000  eps=0.50  recent_success=0.03  buf=85/50000 (0.17%)  elapsed=608s
[corr/qmix/q_values/s1] ep=1800/3000  eps=0.48  recent_success=0.05  buf=90/50000 (0.18%)  elapsed=644s
[corr/qmix/q_values/s1] ep=1900/3000  eps=0.45  recent_success=0.03  buf=93/50000 (0.19%)  elapsed=681s
[corr/qmix/q_values/s1] ep=2000/3000  eps=0.42  recent_success=0.00  buf=93/50000 (0.19%)  elapsed=718s
[corr/qmix/q_values/s1] ep=2100/3000  eps=0.39  recent_success=0.02  buf=95/50000 (0.19%)  elapsed=755s
[corr/qmix/q_values/s1] ep=2200/3000  eps=0.36  recent_success=0.01  buf=96/50000 (0.19%)  elapsed=792s
[corr/qmix/q_values/s1] ep=2300/3000  eps=0.33  recent_success=0.02  buf=98/50000 (0.20%)  elapsed=828s
[corr/qmix/q_values/s1] ep=2400/3000  eps=0.30  recent_success=0.01  buf=99/50000 (0.20%)  elapsed=864s
[corr/qmix/q_values/s1] ep=2500/3000  eps=0.30  recent_success=0.00  buf=99/50000 (0.20%)  elapsed=901s
[corr/qmix/q_values/s1] ep=2600/3000  eps=0.30  recent_success=0.01  buf=100/50000 (0.20%)  elapsed=938s
[corr/qmix/q_values/s1] ep=2700/3000  eps=0.30  recent_success=0.01  buf=101/50000 (0.20%)  elapsed=974s
[corr/qmix/q_values/s1] ep=2800/3000  eps=0.30  recent_success=0.03  buf=104/50000 (0.21%)  elapsed=1011s
[corr/qmix/q_values/s1] ep=2900/3000  eps=0.30  recent_success=0.00  buf=104/50000 (0.21%)  elapsed=1047s
[corr/qmix/q_values/s1] ep=3000/3000  eps=0.30  recent_success=0.01  buf=105/50000 (0.21%)  elapsed=1084s
DONE -> results/lbf_qmix_correlated_q_values_s1.npz
