# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration independent --mixer qmix --similarity obs --env lbf --episodes 3000 --seed 3 --out results/lbf_qmix_independent_na_s3.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[inde/qmix/obs/s3] ep=100/3000  eps=0.97  recent_success=0.04  buf=4/4869 (0.08%)  elapsed=27s
[inde/qmix/obs/s3] ep=200/3000  eps=0.94  recent_success=0.02  buf=6/9831 (0.06%)  elapsed=63s
[inde/qmix/obs/s3] ep=300/3000  eps=0.91  recent_success=0.01  buf=7/14824 (0.05%)  elapsed=99s
[inde/qmix/obs/s3] ep=400/3000  eps=0.88  recent_success=0.01  buf=8/19820 (0.04%)  elapsed=134s
[inde/qmix/obs/s3] ep=500/3000  eps=0.85  recent_success=0.03  buf=11/24711 (0.04%)  elapsed=169s
[inde/qmix/obs/s3] ep=600/3000  eps=0.83  recent_success=0.00  buf=11/29711 (0.04%)  elapsed=204s
[inde/qmix/obs/s3] ep=700/3000  eps=0.80  recent_success=0.02  buf=13/34625 (0.04%)  elapsed=240s
[inde/qmix/obs/s3] ep=800/3000  eps=0.77  recent_success=0.01  buf=14/39605 (0.04%)  elapsed=277s
[inde/qmix/obs/s3] ep=900/3000  eps=0.74  recent_success=0.03  buf=17/44544 (0.04%)  elapsed=312s
[inde/qmix/obs/s3] ep=1000/3000  eps=0.71  recent_success=0.01  buf=18/49508 (0.04%)  elapsed=348s
[inde/qmix/obs/s3] ep=1100/3000  eps=0.68  recent_success=0.00  buf=18/50000 (0.04%)  elapsed=384s
[inde/qmix/obs/s3] ep=1200/3000  eps=0.65  recent_success=0.00  buf=18/50000 (0.04%)  elapsed=420s
[inde/qmix/obs/s3] ep=1300/3000  eps=0.62  recent_success=0.01  buf=19/50000 (0.04%)  elapsed=455s
[inde/qmix/obs/s3] ep=1400/3000  eps=0.59  recent_success=0.00  buf=19/50000 (0.04%)  elapsed=491s
[inde/qmix/obs/s3] ep=1500/3000  eps=0.56  recent_success=0.00  buf=19/50000 (0.04%)  elapsed=527s
[inde/qmix/obs/s3] ep=1600/3000  eps=0.53  recent_success=0.01  buf=20/50000 (0.04%)  elapsed=563s
[inde/qmix/obs/s3] ep=1700/3000  eps=0.50  recent_success=0.00  buf=20/50000 (0.04%)  elapsed=599s
[inde/qmix/obs/s3] ep=1800/3000  eps=0.48  recent_success=0.00  buf=20/50000 (0.04%)  elapsed=635s
[inde/qmix/obs/s3] ep=1900/3000  eps=0.45  recent_success=0.00  buf=20/50000 (0.04%)  elapsed=671s
[inde/qmix/obs/s3] ep=2000/3000  eps=0.42  recent_success=0.00  buf=20/50000 (0.04%)  elapsed=706s
[inde/qmix/obs/s3] ep=2100/3000  eps=0.39  recent_success=0.00  buf=20/50000 (0.04%)  elapsed=741s
[inde/qmix/obs/s3] ep=2200/3000  eps=0.36  recent_success=0.01  buf=21/50000 (0.04%)  elapsed=776s
[inde/qmix/obs/s3] ep=2300/3000  eps=0.33  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=811s
[inde/qmix/obs/s3] ep=2400/3000  eps=0.30  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=846s
[inde/qmix/obs/s3] ep=2500/3000  eps=0.30  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=881s
[inde/qmix/obs/s3] ep=2600/3000  eps=0.30  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=916s
[inde/qmix/obs/s3] ep=2700/3000  eps=0.30  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=951s
[inde/qmix/obs/s3] ep=2800/3000  eps=0.30  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=986s
[inde/qmix/obs/s3] ep=2900/3000  eps=0.30  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=1020s
[inde/qmix/obs/s3] ep=3000/3000  eps=0.30  recent_success=0.00  buf=21/50000 (0.04%)  elapsed=1054s
DONE -> results/lbf_qmix_independent_na_s3.npz
