# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer vdn --similarity hidden --env lbf --episodes 3000 --seed 2 --out results/lbf_vdn_correlated_hidden_s2.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/vdn/hidden/s2] ep=100/3000  eps=0.97  recent_success=0.10  buf=10/4713 (0.21%)  elapsed=23s
[corr/vdn/hidden/s2] ep=200/3000  eps=0.94  recent_success=0.15  buf=25/9281 (0.27%)  elapsed=52s
[corr/vdn/hidden/s2] ep=300/3000  eps=0.91  recent_success=0.16  buf=41/13874 (0.30%)  elapsed=81s
[corr/vdn/hidden/s2] ep=400/3000  eps=0.88  recent_success=0.11  buf=52/18623 (0.28%)  elapsed=111s
[corr/vdn/hidden/s2] ep=500/3000  eps=0.85  recent_success=0.13  buf=65/23287 (0.28%)  elapsed=141s
[corr/vdn/hidden/s2] ep=600/3000  eps=0.83  recent_success=0.08  buf=73/28084 (0.26%)  elapsed=171s
[corr/vdn/hidden/s2] ep=700/3000  eps=0.80  recent_success=0.03  buf=76/32966 (0.23%)  elapsed=201s
[corr/vdn/hidden/s2] ep=800/3000  eps=0.77  recent_success=0.07  buf=83/37759 (0.22%)  elapsed=232s
[corr/vdn/hidden/s2] ep=900/3000  eps=0.74  recent_success=0.05  buf=88/42629 (0.21%)  elapsed=264s
[corr/vdn/hidden/s2] ep=1000/3000  eps=0.71  recent_success=0.00  buf=88/47629 (0.18%)  elapsed=296s
[corr/vdn/hidden/s2] ep=1100/3000  eps=0.68  recent_success=0.02  buf=90/50000 (0.18%)  elapsed=327s
[corr/vdn/hidden/s2] ep=1200/3000  eps=0.65  recent_success=0.03  buf=93/50000 (0.19%)  elapsed=359s
[corr/vdn/hidden/s2] ep=1300/3000  eps=0.62  recent_success=0.03  buf=96/50000 (0.19%)  elapsed=390s
[corr/vdn/hidden/s2] ep=1400/3000  eps=0.59  recent_success=0.00  buf=96/50000 (0.19%)  elapsed=421s
[corr/vdn/hidden/s2] ep=1500/3000  eps=0.56  recent_success=0.00  buf=96/50000 (0.19%)  elapsed=452s
[corr/vdn/hidden/s2] ep=1600/3000  eps=0.53  recent_success=0.05  buf=101/50000 (0.20%)  elapsed=483s
[corr/vdn/hidden/s2] ep=1700/3000  eps=0.50  recent_success=0.01  buf=102/50000 (0.20%)  elapsed=515s
[corr/vdn/hidden/s2] ep=1800/3000  eps=0.48  recent_success=0.00  buf=102/50000 (0.20%)  elapsed=547s
[corr/vdn/hidden/s2] ep=1900/3000  eps=0.45  recent_success=0.01  buf=103/50000 (0.21%)  elapsed=578s
[corr/vdn/hidden/s2] ep=2000/3000  eps=0.42  recent_success=0.01  buf=104/50000 (0.21%)  elapsed=610s
[corr/vdn/hidden/s2] ep=2100/3000  eps=0.39  recent_success=0.01  buf=105/50000 (0.21%)  elapsed=641s
[corr/vdn/hidden/s2] ep=2200/3000  eps=0.36  recent_success=0.00  buf=105/50000 (0.21%)  elapsed=672s
[corr/vdn/hidden/s2] ep=2300/3000  eps=0.33  recent_success=0.00  buf=105/50000 (0.21%)  elapsed=702s
[corr/vdn/hidden/s2] ep=2400/3000  eps=0.30  recent_success=0.00  buf=105/50000 (0.21%)  elapsed=733s
[corr/vdn/hidden/s2] ep=2500/3000  eps=0.30  recent_success=0.02  buf=107/50000 (0.21%)  elapsed=763s
[corr/vdn/hidden/s2] ep=2600/3000  eps=0.30  recent_success=0.00  buf=107/50000 (0.21%)  elapsed=794s
[corr/vdn/hidden/s2] ep=2700/3000  eps=0.30  recent_success=0.00  buf=107/50000 (0.21%)  elapsed=826s
[corr/vdn/hidden/s2] ep=2800/3000  eps=0.30  recent_success=0.02  buf=109/50000 (0.22%)  elapsed=857s
[corr/vdn/hidden/s2] ep=2900/3000  eps=0.30  recent_success=0.00  buf=109/50000 (0.22%)  elapsed=888s
[corr/vdn/hidden/s2] ep=3000/3000  eps=0.30  recent_success=0.02  buf=111/50000 (0.22%)  elapsed=918s
DONE -> results/lbf_vdn_correlated_hidden_s2.npz
