# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer vdn --similarity obs --env lbf --episodes 2000 --seed 0 --out results/lbf_vdn_correlated_obs_s0.npz --save-every 100
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:187: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12070). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/vdn/obs/s0] ep=100/2000  eps=0.96  recent_success=0.13  buf=13/4618 (0.28%)  elapsed=70s
[corr/vdn/obs/s0] ep=200/2000  eps=0.91  recent_success=0.17  buf=30/9202 (0.33%)  elapsed=189s
[corr/vdn/obs/s0] ep=300/2000  eps=0.87  recent_success=0.06  buf=36/14026 (0.26%)  elapsed=314s
[corr/vdn/obs/s0] ep=400/2000  eps=0.83  recent_success=0.06  buf=42/18838 (0.22%)  elapsed=438s
[corr/vdn/obs/s0] ep=500/2000  eps=0.78  recent_success=0.08  buf=50/23633 (0.21%)  elapsed=562s
[corr/vdn/obs/s0] ep=600/2000  eps=0.74  recent_success=0.03  buf=53/28556 (0.19%)  elapsed=690s
[corr/vdn/obs/s0] ep=700/2000  eps=0.69  recent_success=0.01  buf=54/33555 (0.16%)  elapsed=823s
[corr/vdn/obs/s0] ep=800/2000  eps=0.65  recent_success=0.00  buf=54/38555 (0.14%)  elapsed=953s
[corr/vdn/obs/s0] ep=900/2000  eps=0.61  recent_success=0.00  buf=54/43555 (0.12%)  elapsed=1082s
[corr/vdn/obs/s0] ep=1000/2000  eps=0.56  recent_success=0.01  buf=55/48535 (0.11%)  elapsed=1210s
[corr/vdn/obs/s0] ep=1100/2000  eps=0.52  recent_success=0.04  buf=51/50000 (0.10%)  elapsed=1334s
[corr/vdn/obs/s0] ep=1200/2000  eps=0.48  recent_success=0.02  buf=33/50000 (0.07%)  elapsed=1461s
[corr/vdn/obs/s0] ep=1300/2000  eps=0.43  recent_success=0.00  buf=25/50000 (0.05%)  elapsed=1590s
[corr/vdn/obs/s0] ep=1400/2000  eps=0.39  recent_success=0.01  buf=21/50000 (0.04%)  elapsed=1719s
[corr/vdn/obs/s0] ep=1500/2000  eps=0.34  recent_success=0.01  buf=13/50000 (0.03%)  elapsed=1846s
[corr/vdn/obs/s0] ep=1600/2000  eps=0.30  recent_success=0.01  buf=11/50000 (0.02%)  elapsed=1974s
[corr/vdn/obs/s0] ep=1700/2000  eps=0.30  recent_success=0.00  buf=10/50000 (0.02%)  elapsed=2102s
[corr/vdn/obs/s0] ep=1800/2000  eps=0.30  recent_success=0.00  buf=10/50000 (0.02%)  elapsed=2230s
[corr/vdn/obs/s0] ep=1900/2000  eps=0.30  recent_success=0.02  buf=12/50000 (0.02%)  elapsed=2352s
[corr/vdn/obs/s0] ep=2000/2000  eps=0.30  recent_success=0.00  buf=11/50000 (0.02%)  elapsed=2481s
DONE -> results/lbf_vdn_correlated_obs_s0.npz
