# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer vdn --similarity obs --env lbf --episodes 3000 --seed 4 --out results/lbf_vdn_correlated_obs_s4.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/vdn/obs/s4] ep=100/3000  eps=0.97  recent_success=0.13  buf=13/4676 (0.28%)  elapsed=22s
[corr/vdn/obs/s4] ep=200/3000  eps=0.94  recent_success=0.16  buf=29/9248 (0.31%)  elapsed=50s
[corr/vdn/obs/s4] ep=300/3000  eps=0.91  recent_success=0.14  buf=43/13868 (0.31%)  elapsed=79s
[corr/vdn/obs/s4] ep=400/3000  eps=0.88  recent_success=0.18  buf=61/18525 (0.33%)  elapsed=107s
[corr/vdn/obs/s4] ep=500/3000  eps=0.85  recent_success=0.10  buf=71/23257 (0.31%)  elapsed=137s
[corr/vdn/obs/s4] ep=600/3000  eps=0.83  recent_success=0.09  buf=80/27953 (0.29%)  elapsed=166s
[corr/vdn/obs/s4] ep=700/3000  eps=0.80  recent_success=0.04  buf=84/32867 (0.26%)  elapsed=196s
[corr/vdn/obs/s4] ep=800/3000  eps=0.77  recent_success=0.03  buf=87/37825 (0.23%)  elapsed=227s
[corr/vdn/obs/s4] ep=900/3000  eps=0.74  recent_success=0.06  buf=93/42703 (0.22%)  elapsed=257s
[corr/vdn/obs/s4] ep=1000/3000  eps=0.71  recent_success=0.03  buf=96/47594 (0.20%)  elapsed=288s
[corr/vdn/obs/s4] ep=1100/3000  eps=0.68  recent_success=0.03  buf=99/50000 (0.20%)  elapsed=318s
[corr/vdn/obs/s4] ep=1200/3000  eps=0.65  recent_success=0.00  buf=99/50000 (0.20%)  elapsed=349s
[corr/vdn/obs/s4] ep=1300/3000  eps=0.62  recent_success=0.00  buf=99/50000 (0.20%)  elapsed=380s
[corr/vdn/obs/s4] ep=1400/3000  eps=0.59  recent_success=0.00  buf=99/50000 (0.20%)  elapsed=411s
[corr/vdn/obs/s4] ep=1500/3000  eps=0.56  recent_success=0.03  buf=102/50000 (0.20%)  elapsed=442s
[corr/vdn/obs/s4] ep=1600/3000  eps=0.53  recent_success=0.00  buf=102/50000 (0.20%)  elapsed=472s
[corr/vdn/obs/s4] ep=1700/3000  eps=0.50  recent_success=0.00  buf=102/50000 (0.20%)  elapsed=503s
[corr/vdn/obs/s4] ep=1800/3000  eps=0.48  recent_success=0.00  buf=102/50000 (0.20%)  elapsed=534s
[corr/vdn/obs/s4] ep=1900/3000  eps=0.45  recent_success=0.00  buf=102/50000 (0.20%)  elapsed=565s
[corr/vdn/obs/s4] ep=2000/3000  eps=0.42  recent_success=0.00  buf=102/50000 (0.20%)  elapsed=596s
[corr/vdn/obs/s4] ep=2100/3000  eps=0.39  recent_success=0.00  buf=102/50000 (0.20%)  elapsed=627s
[corr/vdn/obs/s4] ep=2200/3000  eps=0.36  recent_success=0.01  buf=103/50000 (0.21%)  elapsed=657s
[corr/vdn/obs/s4] ep=2300/3000  eps=0.33  recent_success=0.00  buf=103/50000 (0.21%)  elapsed=688s
[corr/vdn/obs/s4] ep=2400/3000  eps=0.30  recent_success=0.00  buf=103/50000 (0.21%)  elapsed=719s
[corr/vdn/obs/s4] ep=2500/3000  eps=0.30  recent_success=0.01  buf=104/50000 (0.21%)  elapsed=749s
[corr/vdn/obs/s4] ep=2600/3000  eps=0.30  recent_success=0.00  buf=104/50000 (0.21%)  elapsed=780s
[corr/vdn/obs/s4] ep=2700/3000  eps=0.30  recent_success=0.00  buf=104/50000 (0.21%)  elapsed=811s
[corr/vdn/obs/s4] ep=2800/3000  eps=0.30  recent_success=0.00  buf=104/50000 (0.21%)  elapsed=841s
[corr/vdn/obs/s4] ep=2900/3000  eps=0.30  recent_success=0.00  buf=104/50000 (0.21%)  elapsed=872s
[corr/vdn/obs/s4] ep=3000/3000  eps=0.30  recent_success=0.00  buf=104/50000 (0.21%)  elapsed=902s
DONE -> results/lbf_vdn_correlated_obs_s4.npz
