# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer vdn --similarity q_values --env lbf --episodes 3000 --seed 4 --out results/lbf_vdn_correlated_q_values_s4.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/vdn/q_values/s4] ep=100/3000  eps=0.97  recent_success=0.12  buf=12/4717 (0.25%)  elapsed=23s
[corr/vdn/q_values/s4] ep=200/3000  eps=0.94  recent_success=0.21  buf=33/9103 (0.36%)  elapsed=50s
[corr/vdn/q_values/s4] ep=300/3000  eps=0.91  recent_success=0.21  buf=54/13588 (0.40%)  elapsed=78s
[corr/vdn/q_values/s4] ep=400/3000  eps=0.88  recent_success=0.13  buf=67/18284 (0.37%)  elapsed=108s
[corr/vdn/q_values/s4] ep=500/3000  eps=0.85  recent_success=0.07  buf=74/23119 (0.32%)  elapsed=139s
[corr/vdn/q_values/s4] ep=600/3000  eps=0.83  recent_success=0.08  buf=82/27810 (0.29%)  elapsed=169s
[corr/vdn/q_values/s4] ep=700/3000  eps=0.80  recent_success=0.06  buf=88/32632 (0.27%)  elapsed=199s
[corr/vdn/q_values/s4] ep=800/3000  eps=0.77  recent_success=0.03  buf=91/37530 (0.24%)  elapsed=230s
[corr/vdn/q_values/s4] ep=900/3000  eps=0.74  recent_success=0.00  buf=91/42530 (0.21%)  elapsed=262s
[corr/vdn/q_values/s4] ep=1000/3000  eps=0.71  recent_success=0.02  buf=93/47440 (0.20%)  elapsed=292s
[corr/vdn/q_values/s4] ep=1100/3000  eps=0.68  recent_success=0.02  buf=95/50000 (0.19%)  elapsed=322s
[corr/vdn/q_values/s4] ep=1200/3000  eps=0.65  recent_success=0.00  buf=95/50000 (0.19%)  elapsed=354s
[corr/vdn/q_values/s4] ep=1300/3000  eps=0.62  recent_success=0.00  buf=95/50000 (0.19%)  elapsed=386s
[corr/vdn/q_values/s4] ep=1400/3000  eps=0.59  recent_success=0.01  buf=96/50000 (0.19%)  elapsed=417s
[corr/vdn/q_values/s4] ep=1500/3000  eps=0.56  recent_success=0.00  buf=96/50000 (0.19%)  elapsed=448s
[corr/vdn/q_values/s4] ep=1600/3000  eps=0.53  recent_success=0.00  buf=96/50000 (0.19%)  elapsed=480s
[corr/vdn/q_values/s4] ep=1700/3000  eps=0.50  recent_success=0.01  buf=97/50000 (0.19%)  elapsed=511s
[corr/vdn/q_values/s4] ep=1800/3000  eps=0.48  recent_success=0.01  buf=98/50000 (0.20%)  elapsed=542s
[corr/vdn/q_values/s4] ep=1900/3000  eps=0.45  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=573s
[corr/vdn/q_values/s4] ep=2000/3000  eps=0.42  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=604s
[corr/vdn/q_values/s4] ep=2100/3000  eps=0.39  recent_success=0.03  buf=101/50000 (0.20%)  elapsed=635s
[corr/vdn/q_values/s4] ep=2200/3000  eps=0.36  recent_success=0.01  buf=102/50000 (0.20%)  elapsed=666s
[corr/vdn/q_values/s4] ep=2300/3000  eps=0.33  recent_success=0.01  buf=103/50000 (0.21%)  elapsed=697s
[corr/vdn/q_values/s4] ep=2400/3000  eps=0.30  recent_success=0.00  buf=103/50000 (0.21%)  elapsed=728s
[corr/vdn/q_values/s4] ep=2500/3000  eps=0.30  recent_success=0.04  buf=107/50000 (0.21%)  elapsed=758s
[corr/vdn/q_values/s4] ep=2600/3000  eps=0.30  recent_success=0.02  buf=109/50000 (0.22%)  elapsed=789s
[corr/vdn/q_values/s4] ep=2700/3000  eps=0.30  recent_success=0.02  buf=111/50000 (0.22%)  elapsed=819s
[corr/vdn/q_values/s4] ep=2800/3000  eps=0.30  recent_success=0.00  buf=111/50000 (0.22%)  elapsed=849s
[corr/vdn/q_values/s4] ep=2900/3000  eps=0.30  recent_success=0.01  buf=112/50000 (0.22%)  elapsed=878s
[corr/vdn/q_values/s4] ep=3000/3000  eps=0.30  recent_success=0.05  buf=117/50000 (0.23%)  elapsed=908s
DONE -> results/lbf_vdn_correlated_q_values_s4.npz
