# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration independent --mixer vdn --similarity obs --env lbf --episodes 3000 --seed 4 --out results/lbf_vdn_independent_na_s4.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[inde/vdn/obs/s4] ep=100/3000  eps=0.97  recent_success=0.04  buf=4/4896 (0.08%)  elapsed=22s
[inde/vdn/obs/s4] ep=200/3000  eps=0.94  recent_success=0.06  buf=10/9779 (0.10%)  elapsed=51s
[inde/vdn/obs/s4] ep=300/3000  eps=0.91  recent_success=0.09  buf=19/14469 (0.13%)  elapsed=79s
[inde/vdn/obs/s4] ep=400/3000  eps=0.88  recent_success=0.02  buf=21/19431 (0.11%)  elapsed=108s
[inde/vdn/obs/s4] ep=500/3000  eps=0.85  recent_success=0.01  buf=22/24385 (0.09%)  elapsed=137s
[inde/vdn/obs/s4] ep=600/3000  eps=0.83  recent_success=0.01  buf=23/29349 (0.08%)  elapsed=166s
[inde/vdn/obs/s4] ep=700/3000  eps=0.80  recent_success=0.02  buf=25/34282 (0.07%)  elapsed=196s
[inde/vdn/obs/s4] ep=800/3000  eps=0.77  recent_success=0.00  buf=25/39282 (0.06%)  elapsed=225s
[inde/vdn/obs/s4] ep=900/3000  eps=0.74  recent_success=0.00  buf=25/44282 (0.06%)  elapsed=255s
[inde/vdn/obs/s4] ep=1000/3000  eps=0.71  recent_success=0.01  buf=26/49238 (0.05%)  elapsed=286s
[inde/vdn/obs/s4] ep=1100/3000  eps=0.68  recent_success=0.00  buf=26/50000 (0.05%)  elapsed=316s
[inde/vdn/obs/s4] ep=1200/3000  eps=0.65  recent_success=0.02  buf=28/50000 (0.06%)  elapsed=346s
[inde/vdn/obs/s4] ep=1300/3000  eps=0.62  recent_success=0.00  buf=28/50000 (0.06%)  elapsed=377s
[inde/vdn/obs/s4] ep=1400/3000  eps=0.59  recent_success=0.01  buf=29/50000 (0.06%)  elapsed=407s
[inde/vdn/obs/s4] ep=1500/3000  eps=0.56  recent_success=0.00  buf=29/50000 (0.06%)  elapsed=437s
[inde/vdn/obs/s4] ep=1600/3000  eps=0.53  recent_success=0.00  buf=29/50000 (0.06%)  elapsed=466s
[inde/vdn/obs/s4] ep=1700/3000  eps=0.50  recent_success=0.00  buf=29/50000 (0.06%)  elapsed=496s
[inde/vdn/obs/s4] ep=1800/3000  eps=0.48  recent_success=0.00  buf=29/50000 (0.06%)  elapsed=525s
[inde/vdn/obs/s4] ep=1900/3000  eps=0.45  recent_success=0.00  buf=29/50000 (0.06%)  elapsed=555s
[inde/vdn/obs/s4] ep=2000/3000  eps=0.42  recent_success=0.00  buf=29/50000 (0.06%)  elapsed=585s
[inde/vdn/obs/s4] ep=2100/3000  eps=0.39  recent_success=0.00  buf=29/50000 (0.06%)  elapsed=614s
[inde/vdn/obs/s4] ep=2200/3000  eps=0.36  recent_success=0.01  buf=30/50000 (0.06%)  elapsed=644s
[inde/vdn/obs/s4] ep=2300/3000  eps=0.33  recent_success=0.00  buf=30/50000 (0.06%)  elapsed=674s
[inde/vdn/obs/s4] ep=2400/3000  eps=0.30  recent_success=0.00  buf=30/50000 (0.06%)  elapsed=703s
[inde/vdn/obs/s4] ep=2500/3000  eps=0.30  recent_success=0.00  buf=30/50000 (0.06%)  elapsed=733s
[inde/vdn/obs/s4] ep=2600/3000  eps=0.30  recent_success=0.00  buf=30/50000 (0.06%)  elapsed=763s
[inde/vdn/obs/s4] ep=2700/3000  eps=0.30  recent_success=0.00  buf=30/50000 (0.06%)  elapsed=792s
[inde/vdn/obs/s4] ep=2800/3000  eps=0.30  recent_success=0.00  buf=30/50000 (0.06%)  elapsed=822s
[inde/vdn/obs/s4] ep=2900/3000  eps=0.30  recent_success=0.00  buf=30/50000 (0.06%)  elapsed=852s
[inde/vdn/obs/s4] ep=3000/3000  eps=0.30  recent_success=0.01  buf=31/50000 (0.06%)  elapsed=881s
DONE -> results/lbf_vdn_independent_na_s4.npz
