# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer vdn --similarity obs --env switches --episodes 2000 --seed 0 --out results/switches_vdn_correlated_obs_s0.npz --save-every 100
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/torch/cuda/__init__.py:187: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 12070). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
[corr/vdn/obs/s0] ep=100/2000  eps=0.96  recent_success=0.02  buf=2/2947 (0.07%)  elapsed=19s
[corr/vdn/obs/s0] ep=200/2000  eps=0.91  recent_success=0.06  buf=8/5878 (0.14%)  elapsed=72s
[corr/vdn/obs/s0] ep=300/2000  eps=0.87  recent_success=0.09  buf=17/8775 (0.19%)  elapsed=123s
[corr/vdn/obs/s0] ep=400/2000  eps=0.83  recent_success=0.19  buf=36/11567 (0.31%)  elapsed=173s
[corr/vdn/obs/s0] ep=500/2000  eps=0.78  recent_success=0.36  buf=72/14033 (0.51%)  elapsed=217s
[corr/vdn/obs/s0] ep=600/2000  eps=0.74  recent_success=0.50  buf=122/16319 (0.75%)  elapsed=259s
[corr/vdn/obs/s0] ep=700/2000  eps=0.69  recent_success=0.64  buf=186/18480 (1.01%)  elapsed=299s
[corr/vdn/obs/s0] ep=800/2000  eps=0.65  recent_success=0.66  buf=252/20570 (1.23%)  elapsed=336s
[corr/vdn/obs/s0] ep=900/2000  eps=0.61  recent_success=0.64  buf=316/22600 (1.40%)  elapsed=372s
[corr/vdn/obs/s0] ep=1000/2000  eps=0.56  recent_success=0.36  buf=352/25216 (1.40%)  elapsed=419s
[corr/vdn/obs/s0] ep=1100/2000  eps=0.52  recent_success=0.40  buf=392/27612 (1.42%)  elapsed=462s
[corr/vdn/obs/s0] ep=1200/2000  eps=0.48  recent_success=0.60  buf=452/29772 (1.52%)  elapsed=500s
[corr/vdn/obs/s0] ep=1300/2000  eps=0.43  recent_success=0.59  buf=511/31825 (1.61%)  elapsed=537s
[corr/vdn/obs/s0] ep=1400/2000  eps=0.39  recent_success=0.64  buf=575/33862 (1.70%)  elapsed=573s
[corr/vdn/obs/s0] ep=1500/2000  eps=0.34  recent_success=0.50  buf=625/36086 (1.73%)  elapsed=612s
[corr/vdn/obs/s0] ep=1600/2000  eps=0.30  recent_success=0.55  buf=680/38192 (1.78%)  elapsed=650s
[corr/vdn/obs/s0] ep=1700/2000  eps=0.30  recent_success=0.38  buf=718/40504 (1.77%)  elapsed=691s
[corr/vdn/obs/s0] ep=1800/2000  eps=0.30  recent_success=0.48  buf=766/42544 (1.80%)  elapsed=723s
[corr/vdn/obs/s0] ep=1900/2000  eps=0.30  recent_success=0.57  buf=823/44444 (1.85%)  elapsed=750s
[corr/vdn/obs/s0] ep=2000/2000  eps=0.30  recent_success=0.69  buf=892/46012 (1.94%)  elapsed=778s
DONE -> results/switches_vdn_correlated_obs_s0.npz
