# /home/jwozniak/MARL/.venv/bin/python3 -m smax.run --exploration correlated --similarity hidden --mixer vdn --seed 3 --total-steps 2000000 --out results_smax/smax_2s3z_vdn_correlated_hidden_s3.npz
2026-06-10 19:47:04.850902: W external/xla/xla/service/gpu/nvptx_compiler.cc:930] The NVIDIA driver's CUDA version is 12.7 which is older than the PTX compiler version 12.9.86. Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[run] cfg={'seed': 3, 'total_steps': 2000000, 'n_envs': 128, 'buffer_cap': 100000, 'batch_size': 128, 'warmup': 5000, 'updates_per_iter': 1, 'target_sync': 200, 'gamma': 0.99, 'lr': 0.0003, 'grad_clip': 10.0, 'eps_start': 1.0, 'eps_end': 0.05, 'eps_anneal_steps': 100000, 'hidden_size': 128, 'exploration': 'correlated', 'similarity': 'hidden', 'mixer': 'vdn', 'qmix_embed': 32, 'log_corr_every': 2000}
[cfg] n_agents=5  n_actions=10  obs_dim=127  state_dim=120  aug_dim=134
iter=     0  env_steps=        0  eps=1.000  episodes=     0  recent_return=0.00  win=0.00  buf=128
iter=   200  env_steps=    25600  eps=0.757  episodes=   408  recent_return=0.23  win=0.00  buf=25728
iter=   400  env_steps=    51200  eps=0.514  episodes=   867  recent_return=0.27  win=0.01  buf=51328
iter=   600  env_steps=    76800  eps=0.270  episodes=  1328  recent_return=0.24  win=0.00  buf=76928
iter=   800  env_steps=   102400  eps=0.050  episodes=  1795  recent_return=0.18  win=0.00  buf=100000
iter=  1000  env_steps=   128000  eps=0.050  episodes=  2261  recent_return=0.11  win=0.00  buf=100000
iter=  1200  env_steps=   153600  eps=0.050  episodes=  2719  recent_return=0.07  win=0.00  buf=100000
iter=  1400  env_steps=   179200  eps=0.050  episodes=  3192  recent_return=0.08  win=0.00  buf=100000
iter=  1600  env_steps=   204800  eps=0.050  episodes=  3663  recent_return=0.06  win=0.00  buf=100000
iter=  1800  env_steps=   230400  eps=0.050  episodes=  4118  recent_return=0.06  win=0.00  buf=100000
iter=  2000  env_steps=   256000  eps=0.050  episodes=  4588  recent_return=0.07  win=0.00  buf=100000
iter=  2200  env_steps=   281600  eps=0.050  episodes=  5040  recent_return=0.06  win=0.00  buf=100000
iter=  2400  env_steps=   307200  eps=0.050  episodes=  5504  recent_return=0.04  win=0.00  buf=100000
iter=  2600  env_steps=   332800  eps=0.050  episodes=  5971  recent_return=0.03  win=0.00  buf=100000
iter=  2800  env_steps=   358400  eps=0.050  episodes=  6437  recent_return=0.05  win=0.00  buf=100000
iter=  3000  env_steps=   384000  eps=0.050  episodes=  6880  recent_return=0.04  win=0.00  buf=100000
iter=  3200  env_steps=   409600  eps=0.050  episodes=  7355  recent_return=0.04  win=0.00  buf=100000
iter=  3400  env_steps=   435200  eps=0.050  episodes=  7827  recent_return=0.04  win=0.00  buf=100000
iter=  3600  env_steps=   460800  eps=0.050  episodes=  8298  recent_return=0.04  win=0.00  buf=100000
iter=  3800  env_steps=   486400  eps=0.050  episodes=  8769  recent_return=0.04  win=0.00  buf=100000
iter=  4000  env_steps=   512000  eps=0.050  episodes=  9203  recent_return=0.05  win=0.00  buf=100000
iter=  4200  env_steps=   537600  eps=0.050  episodes=  9650  recent_return=0.05  win=0.00  buf=100000
